name,surname,URI
ROMANO,MISSERVILLE,http://dati.camera.it/ocd/persona.rdf/p200633
TULLIO,MONTAGNA,http://dati.camera.it/ocd/persona.rdf/p200640
ANTONIO MICHELE,MONTAGNINO,http://dati.camera.it/ocd/persona.rdf/p200641
ANTONINO,MONTELEONE,http://dati.camera.it/ocd/persona.rdf/p200643
ANTONIO ENRICO,MORANDO,http://dati.camera.it/ocd/persona.rdf/p200649
FRANCESCO,MORO,http://dati.camera.it/ocd/persona.rdf/p200651
GIUSEPPE,MULAS,http://dati.camera.it/ocd/persona.rdf/p200654
VITTORIO,MUNDI,http://dati.camera.it/ocd/persona.rdf/p200655
VINCENZO,MUNGARI,http://dati.camera.it/ocd/persona.rdf/p200656
GIOVANNI PIETRO,MURINEDDU,http://dati.camera.it/ocd/persona.rdf/p200658
BRUNO,NAPOLI,http://dati.camera.it/ocd/persona.rdf/p200661
ROBERTO,NAPOLI,http://dati.camera.it/ocd/persona.rdf/p200663
DAVIDE,NAVA,http://dati.camera.it/ocd/persona.rdf/p200665
GIANNI,NIEDDU,http://dati.camera.it/ocd/persona.rdf/p200667
MARIO,OCCHIPINTI,http://dati.camera.it/ocd/persona.rdf/p200671
LUIGI,MANFREDI,http://dati.camera.it/ocd/persona.rdf/p200562
DONATO,MANFROI,http://dati.camera.it/ocd/persona.rdf/p200565
MARIA ROSARIA,MANIERI,http://dati.camera.it/ocd/persona.rdf/p200568
ADOLFO,MANIS,http://dati.camera.it/ocd/persona.rdf/p200570
ALFREDO LUIGI,MANTICA,http://dati.camera.it/ocd/persona.rdf/p200572
ANDREA,MANZELLA,http://dati.camera.it/ocd/persona.rdf/p200574
LUCIANO,MANZI,http://dati.camera.it/ocd/persona.rdf/p200577
FAUSTO,MARCHETTI,http://dati.camera.it/ocd/persona.rdf/p200581
CESARE,MARINI,http://dati.camera.it/ocd/persona.rdf/p200585
ALBERTO GAETANO,MARITATI,http://dati.camera.it/ocd/persona.rdf/p200588
ITALO,MARRI,http://dati.camera.it/ocd/persona.rdf/p200590
VALENTINO,MARTELLI,http://dati.camera.it/ocd/persona.rdf/p200593
ALDO,MASULLO,http://dati.camera.it/ocd/persona.rdf/p200598
RENATO,MEDURI,http://dati.camera.it/ocd/persona.rdf/p200604
GIORGIO,MELE,http://dati.camera.it/ocd/persona.rdf/p200605
FRANCO COSTANTINO,MELONI,http://dati.camera.it/ocd/persona.rdf/p200606
SILVANO MARIO,MICELE,http://dati.camera.it/ocd/persona.rdf/p200616
GIANFRANCO,MIGLIO,http://dati.camera.it/ocd/persona.rdf/p200620
PATRIZIO,PETRUCCI,http://dati.camera.it/ocd/persona.rdf/p200732
ROSARIO,PETTINATO,http://dati.camera.it/ocd/persona.rdf/p200735
ENRICO,PIANETTA,http://dati.camera.it/ocd/persona.rdf/p200737
GIANCARLO,PIATTI,http://dati.camera.it/ocd/persona.rdf/p200738
ORNELLA,PILONI,http://dati.camera.it/ocd/persona.rdf/p200747
ARMIN,PINGGERA,http://dati.camera.it/ocd/persona.rdf/p200748
MICHELE,PINTO,http://dati.camera.it/ocd/persona.rdf/p200752
FRANCESCO,PONTONE,http://dati.camera.it/ocd/persona.rdf/p200763
